"sex","math","stat"
"F",88,16
"F",59,53
"F",72,80
"M",49,73
"M",96,0
"F",50,0
"M",97,59
"F",55,61
"F",63,62
"F",78,93
"F",70,97
"F",99,26
"M",95,54
"F",76,70
"M",70,50
"M",74,68
"F",42,65
"F",83,18
"M",84,81
"M",66,86
"F",96,41
"F",95,57
"F",46,47
"F",63,52
"F",94,72
"M",98,23
"M",47,21
"M",56,100
"F",43,89
"M",62,89
"M",65,47
"M",95,46
"M",62,75
"F",90,26
"F",92,72
"M",64,59
"F",74,62
"F",77,62
"F",92,70
"M",54,73
"F",43,52
"F",43,34
"F",73,53
"M",80,44
"M",71,62
"M",54,81
"F",87,24
"F",98,52
"M",49,92
"M",72,47
"M",84,61
"M",95,55
"F",97,52
"F",67,30
"M",76,0
"F",74,53
"F",87,46
"F",72,34
"M",93,88
"M",95,75
"M",57,40
"M",46,44
"F",46,0
"M",43,31
"F",92,74
"F",61,43
"M",45,65
"F",70,74
"F",40,29
"F",53,1
"F",85,89
"M",76,26
"M",88,50
"M",66,61
"F",57,26
"F",62,76
"M",53,49
"M",67,47
"F",56,74
"F",75,73
"F",89,59
"M",58,12
"M",72,85
"M",93,93
"F",61,8
"F",94,26
"M",55,41
"M",58,62
"F",91,59
"F",53,51
"F",74,77
"F",94,26
"F",80,57
"M",81,49
"M",91,100
"F",76,43
"F",86,6
"F",66,70
"F",86,62
"M",59,65
